/***********************************************************
* Ocean Resources and Renewable Energy Laboratory
* Version: v1.0 (Released on May 1st, 2021)
* Programmed by: Jessica Nguyen (Email: nvnguyen@umass.edu)
*----------------------------------------------------------
* Project Name:	NREL_OSWEC_freedecay
* Project Lead:	JD
* Labview Operator:	JD
* Comments:	model centered in window 2; probe 1 aligned with the edge of the first inlet section (where it transitions to glass); probe 2 centered in window 2.
* Date and Time:	Tue 11 May 2021 02:23:12 PM EDT
***********************************************************/

"Time(s)"	"WP1(m)"	"WP2(m)"	"WP3(m)"	"WP4(m)"	"Roll(deg)"	"Pitch(deg)"	"ForceX(N)"	"ForceY(N)"	"ForceZ(N)"	"MomentX"	"MomentY"	"MomentZ"	
0.02400	-0.00065	-0.00070	-0.00047	-0.00018	9.65140	-89.37000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.02600	-0.00065	-0.00070	-0.00047	-0.00018	9.74160	-89.37000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.02800	-0.00065	-0.00070	-0.00047	-0.00018	0.00000	0.00000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.03000	-0.00065	-0.00070	-0.00047	-0.00018	9.65140	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.03200	-0.00065	-0.00070	-0.00047	-0.00018	9.65140	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.03400	-0.00065	-0.00070	-0.00047	-0.00018	9.65140	-89.37000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.03600	-0.00065	-0.00070	-0.00047	-0.00018	9.74160	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.03800	-0.00065	-0.00070	-0.00047	-0.00018	9.74160	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.04000	-0.00065	-0.00070	-0.00047	-0.00018	9.74160	-89.55000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.04200	-0.00065	-0.00070	-0.00047	-0.00018	0.00000	0.00000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.04400	-0.00065	-0.00070	-0.00047	-0.00018	9.74160	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.04600	-0.00065	-0.00070	-0.00047	-0.00018	9.83180	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.04800	-0.00065	-0.00070	-0.00047	-0.00018	9.74160	-89.55000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.05000	-0.00065	-0.00070	-0.00047	-0.00018	0.00000	0.00000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.05200	-0.00065	-0.00070	-0.00047	-0.00018	9.83180	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.05400	-0.00065	-0.00070	-0.00047	-0.00018	9.92200	-89.37000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.05600	-0.00065	-0.00070	-0.00047	-0.00018	9.92200	-89.37000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.05800	-0.00065	-0.00070	-0.00047	-0.00018	10.01220	-89.37000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.06000	-0.00065	-0.00070	-0.00047	-0.00018	9.92200	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.06200	-0.00065	-0.00070	-0.00047	-0.00018	10.01220	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.06400	-0.00065	-0.00070	-0.00047	-0.00018	0.00000	0.00000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.06600	-0.00065	-0.00070	-0.00047	-0.00018	10.10240	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.06800	-0.00065	-0.00070	-0.00047	-0.00018	10.10240	-89.55000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.07000	-0.00065	-0.00070	-0.00047	-0.00018	10.10240	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.07200	-0.00065	-0.00070	-0.00047	-0.00018	0.00000	0.00000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.07400	-0.00065	-0.00070	-0.00047	-0.00018	10.10240	-89.55000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.07600	-0.00065	-0.00070	-0.00047	-0.00018	10.10240	-89.55000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.07800	-0.00017	0.00041	0.00005	-0.00004	10.10240	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.08000	-0.00017	0.00041	0.00005	-0.00004	10.10240	-89.55000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.08200	-0.00017	0.00041	0.00005	-0.00004	10.10240	-89.55000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.08400	-0.00017	0.00041	0.00005	-0.00004	10.10240	-89.55000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.08600	-0.00017	0.00041	0.00005	-0.00004	0.00000	0.00000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.08800	-0.00017	0.00041	0.00005	-0.00004	10.19260	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.09000	-0.00017	0.00041	0.00005	-0.00004	10.10240	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.09200	-0.00017	0.00041	0.00005	-0.00004	10.01220	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.09400	-0.00017	0.00041	0.00005	-0.00004	0.00000	0.00000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.09600	-0.00017	0.00041	0.00005	-0.00004	9.92200	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.09800	-0.00017	0.00041	0.00005	-0.00004	10.01220	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.10000	-0.00017	0.00041	0.00005	-0.00004	10.01220	-89.46000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.10200	-0.00017	0.00041	0.00005	-0.00004	10.01220	-89.37000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.10400	-0.00017	0.00041	0.00005	-0.00004	10.01220	-89.37000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.10600	-0.00017	0.00041	0.00005	-0.00004	0.00000	0.00000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.10800	-0.00017	0.00041	0.00005	-0.00004	10.01220	-89.37000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.11000	-0.00017	0.00041	0.00005	-0.00004	10.01220	-89.37000	-1.75168	-2.55866	-0.82561	-1.35733	0.38774	-0.33840
0.11200	-0.00017	0.00041	0.00005	-0.00004	9.92200	-89.37000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.11400	-0.00017	0.00041	0.00005	-0.00004	9.92200	-89.37000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.11600	-0.00017	0.00041	0.00005	-0.00004	0.00000	0.00000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.11800	-0.00017	0.00041	0.00005	-0.00004	9.83180	-89.37000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.12000	-0.00017	0.00041	0.00005	-0.00004	9.83180	-89.55000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.12200	-0.00017	0.00041	0.00005	-0.00004	9.83180	-89.55000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.12400	-0.00017	0.00041	0.00005	-0.00004	9.92200	-89.64000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.12600	-0.00017	0.00041	0.00005	-0.00004	9.92200	-89.55000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.12800	-0.00017	0.00041	0.00005	-0.00004	0.00000	0.00000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.13000	-0.00017	0.00041	0.00005	-0.00004	0.00000	0.00000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.13200	-0.00017	0.00041	0.00005	-0.00004	9.92200	-89.37000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.13400	-0.00017	0.00041	0.00005	-0.00004	9.74160	-89.37000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.13600	-0.00017	0.00041	0.00005	-0.00004	9.74160	-89.46000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.13800	-0.00017	0.00041	0.00005	-0.00004	0.00000	0.00000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.14000	-0.00017	0.00041	0.00005	-0.00004	9.92200	-89.46000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.14200	-0.00017	0.00041	0.00005	-0.00004	9.92200	-89.46000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.14400	-0.00017	0.00041	0.00005	-0.00004	9.83180	-89.46000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.14600	-0.00032	0.00030	-0.00006	-0.00042	9.83180	-89.55000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.14800	-0.00032	0.00030	-0.00006	-0.00042	9.74160	-89.55000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.15000	-0.00032	0.00030	-0.00006	-0.00042	9.74160	-89.55000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.15200	-0.00032	0.00030	-0.00006	-0.00042	0.00000	0.00000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.15400	-0.00032	0.00030	-0.00006	-0.00042	9.83180	-89.46000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.15600	-0.00032	0.00030	-0.00006	-0.00042	9.74160	-89.55000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.15800	-0.00032	0.00030	-0.00006	-0.00042	9.74160	-89.55000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.16000	-0.00032	0.00030	-0.00006	-0.00042	0.00000	0.00000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.16200	-0.00032	0.00030	-0.00006	-0.00042	9.65140	-89.46000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.16400	-0.00032	0.00030	-0.00006	-0.00042	9.65140	-89.46000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.16600	-0.00032	0.00030	-0.00006	-0.00042	9.65140	-89.46000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.16800	-0.00032	0.00030	-0.00006	-0.00042	9.65140	-89.37000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.17000	-0.00032	0.00030	-0.00006	-0.00042	9.74160	-89.55000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.17200	-0.00032	0.00030	-0.00006	-0.00042	9.74160	-89.55000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.17400	-0.00032	0.00030	-0.00006	-0.00042	0.00000	0.00000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.17600	-0.00032	0.00030	-0.00006	-0.00042	9.74160	-89.55000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.17800	-0.00032	0.00030	-0.00006	-0.00042	9.92200	-89.55000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.18000	-0.00032	0.00030	-0.00006	-0.00042	9.83180	-89.55000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.18200	-0.00032	0.00030	-0.00006	-0.00042	0.00000	0.00000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.18400	-0.00032	0.00030	-0.00006	-0.00042	9.56120	-89.55000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.18600	-0.00032	0.00030	-0.00006	-0.00042	9.56120	-89.46000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.18800	-0.00032	0.00030	-0.00006	-0.00042	9.56120	-89.46000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.19000	-0.00032	0.00030	-0.00006	-0.00042	9.74160	-89.46000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.19200	-0.00032	0.00030	-0.00006	-0.00042	9.74160	-89.46000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.19400	-0.00032	0.00030	-0.00006	-0.00042	9.74160	-89.19000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.19600	-0.00032	0.00030	-0.00006	-0.00042	9.74160	-89.28000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.19800	-0.00032	0.00030	-0.00006	-0.00042	9.74160	-89.28000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.20000	-0.00032	0.00030	-0.00006	-0.00042	9.92200	-89.37000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.20200	-0.00032	0.00030	-0.00006	-0.00042	0.00000	0.00000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.20400	-0.00032	0.00030	-0.00006	-0.00042	0.00000	0.00000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.20600	-0.00032	0.00030	-0.00006	-0.00042	9.92200	-89.28000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.20800	-0.00032	0.00030	-0.00006	-0.00042	9.92200	-89.37000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.21000	-0.00032	0.00030	-0.00006	-0.00042	9.83180	-89.37000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.21200	-0.00032	0.00030	-0.00006	-0.00042	0.00000	0.00000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.21400	-0.00032	0.00030	-0.00006	-0.00042	9.83180	-89.37000	-1.42603	-2.39189	-0.83774	-1.26695	0.26355	-0.38210
0.21600	0.00028	0.00040	0.00029	-0.00053	9.92200	-89.46000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.21800	0.00028	0.00040	0.00029	-0.00053	9.92200	-89.46000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.22000	0.00028	0.00040	0.00029	-0.00053	9.92200	-89.37000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.22200	0.00028	0.00040	0.00029	-0.00053	9.92200	-89.37000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.22400	0.00028	0.00040	0.00029	-0.00053	9.92200	-89.37000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.22600	0.00028	0.00040	0.00029	-0.00053	0.00000	-89.55000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.22800	0.00028	0.00040	0.00029	-0.00053	9.74160	-89.55000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.23000	0.00028	0.00040	0.00029	-0.00053	9.65140	-89.46000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.23200	0.00028	0.00040	0.00029	-0.00053	0.00000	0.00000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.23400	0.00028	0.00040	0.00029	-0.00053	0.00000	-89.46000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.23600	0.00028	0.00040	0.00029	-0.00053	9.83180	-89.46000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.23800	0.00028	0.00040	0.00029	-0.00053	9.92200	-89.46000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.24000	0.00028	0.00040	0.00029	-0.00053	9.83180	-89.37000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.24200	0.00028	0.00040	0.00029	-0.00053	9.83180	-89.37000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.24400	0.00028	0.00040	0.00029	-0.00053	9.92200	-89.46000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.24600	0.00028	0.00040	0.00029	-0.00053	9.83180	-89.37000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.24800	0.00028	0.00040	0.00029	-0.00053	9.83180	-89.37000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.25000	0.00028	0.00040	0.00029	-0.00053	9.92200	-89.37000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.25200	0.00028	0.00040	0.00029	-0.00053	9.92200	-89.37000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.25400	0.00028	0.00040	0.00029	-0.00053	0.00000	0.00000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.25600	0.00028	0.00040	0.00029	-0.00053	0.00000	0.00000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.25800	0.00028	0.00040	0.00029	-0.00053	9.74160	-89.46000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.26000	0.00028	0.00040	0.00029	-0.00053	9.83180	-89.28000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.26200	0.00028	0.00040	0.00029	-0.00053	9.92200	-89.28000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.26400	0.00028	0.00040	0.00029	-0.00053	0.00000	0.00000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.26600	0.00028	0.00040	0.00029	-0.00053	9.83180	-89.46000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.26800	0.00028	0.00040	0.00029	-0.00053	9.83180	-89.46000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.27000	0.00028	0.00040	0.00029	-0.00053	9.83180	-89.37000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.27200	0.00028	0.00040	0.00029	-0.00053	9.83180	-89.46000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.27400	0.00028	0.00040	0.00029	-0.00053	9.92200	-89.37000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.27600	0.00028	0.00040	0.00029	-0.00053	9.92200	0.00000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.27800	0.00028	0.00040	0.00029	-0.00053	0.00000	0.00000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.28000	0.00028	0.00040	0.00029	-0.00053	9.74160	-89.28000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.28200	0.00028	0.00040	0.00029	-0.00053	9.74160	-89.37000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.28400	0.00028	0.00040	0.00029	-0.00053	9.74160	-89.37000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.28600	0.00028	0.00040	0.00029	-0.00053	9.83180	-89.46000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.28800	0.00010	0.00006	-0.00016	-0.00033	9.74160	-89.46000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.29000	0.00010	0.00006	-0.00016	-0.00033	0.00000	0.00000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.29200	0.00010	0.00006	-0.00016	-0.00033	0.00000	0.00000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.29400	0.00010	0.00006	-0.00016	-0.00033	9.74160	-89.28000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.29600	0.00010	0.00006	-0.00016	-0.00033	9.92200	-89.37000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.29800	0.00010	0.00006	-0.00016	-0.00033	9.83180	-89.28000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.30000	0.00010	0.00006	-0.00016	-0.00033	0.00000	0.00000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.30200	0.00010	0.00006	-0.00016	-0.00033	9.92200	-89.28000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.30400	0.00010	0.00006	-0.00016	-0.00033	9.74160	-89.19000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.30600	0.00010	0.00006	-0.00016	-0.00033	9.65140	-89.19000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.30800	0.00010	0.00006	-0.00016	-0.00033	9.65140	-89.28000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.31000	0.00010	0.00006	-0.00016	-0.00033	9.65140	-89.28000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.31200	0.00010	0.00006	-0.00016	-0.00033	9.56120	-89.37000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.31400	0.00010	0.00006	-0.00016	-0.00033	9.65140	-89.55000	-1.72946	-2.49466	-0.72095	-1.28139	0.38917	-0.36548
0.31600	0.00010	0.00006	-0.00016	-0.00033	9.65140	-89.55000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.31800	0.00010	0.00006	-0.00016	-0.00033	9.74160	-89.46000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.32000	0.00010	0.00006	-0.00016	-0.00033	9.74160	-89.55000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.32200	0.00010	0.00006	-0.00016	-0.00033	9.83180	-89.55000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.32400	0.00010	0.00006	-0.00016	-0.00033	9.74160	-89.55000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.32600	0.00010	0.00006	-0.00016	-0.00033	9.74160	-89.64000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.32800	0.00010	0.00006	-0.00016	-0.00033	9.65140	-89.64000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.33000	0.00010	0.00006	-0.00016	-0.00033	0.00000	0.00000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.33200	0.00010	0.00006	-0.00016	-0.00033	9.65140	-89.55000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.33400	0.00010	0.00006	-0.00016	-0.00033	9.65140	-89.64000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.33600	0.00010	0.00006	-0.00016	-0.00033	9.56120	-89.64000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.33800	0.00010	0.00006	-0.00016	-0.00033	0.00000	0.00000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.34000	0.00010	0.00006	-0.00016	-0.00033	9.74160	-89.64000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.34200	0.00010	0.00006	-0.00016	-0.00033	9.74160	-89.55000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.34400	0.00010	0.00006	-0.00016	-0.00033	9.74160	-89.46000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.34600	0.00010	0.00006	-0.00016	-0.00033	9.65140	-89.46000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.34800	0.00010	0.00006	-0.00016	-0.00033	9.56120	-89.46000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.35000	0.00010	0.00006	-0.00016	-0.00033	9.56120	-89.46000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.35200	0.00010	0.00006	-0.00016	-0.00033	9.65140	-89.55000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.35400	0.00025	0.00006	0.00055	-0.00069	9.56120	-89.55000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.35600	0.00025	0.00006	0.00055	-0.00069	9.65140	-89.55000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.35800	0.00025	0.00006	0.00055	-0.00069	9.65140	-89.46000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
0.36000	0.00025	0.00006	0.00055	-0.00069	0.00000	0.00000	-1.52580	-2.07419	-0.91208	-1.11233	0.32333	-0.40256
